#word,len,pattern,sortedword
aardvark,8,AABCDABE,aaadkrrv
Aaron,5,AABCD,Aanor
aback,5,ABACD,aabck
abaft,5,ABACD,aabft
abalone,7,ABACDEF,aabelno
abandon,7,ABACDEC,aabdnno
abandonment,11,ABACDECFGCH,aabdemnnnot
abase,5,ABACD,aabes
abasement,9,ABACDEDFG,aabeemnst
abash,5,ABACD,aabhs
abashed,7,ABACDEF,aabdehs
abate,5,ABACD,aabet
abated,6,ABACDE,aabdet
abatement,9,ABACDEDFC,aabeemntt
abbe,4,ABBC,abbe
abbey,5,ABBCD,abbey
abbot,5,ABBCD,abbot
abbreviate,10,ABBCDEFAGD,aabbeeirtv
abbreviated,11,ABBCDEFAGDH,aabbdeeirtv
abbreviates,11,ABBCDEFAGDH,aabbeeirstv
abdicate,8,ABCDEAFG,aabcdeit
abdomen,7,ABCDEFG,abdemno
abdominal,9,ABCDEFGAH,aabdilmno
abduct,6,ABCDEF,abcdtu
abduction,9,ABCDEFGHI,abcdinotu
abductor,8,ABCDEFGH,abcdortu
Abe,3,ABC,Abe
abed,4,ABCD,abde
aberrant,8,ABCDDAEF,aabenrrt
aberration,10,ABCDDAEFGH,aabeinorrt
abet,4,ABCD,abet
abetted,7,ABCDDCE,abdeett
abetter,7,ABCDDCE,abeertt
abetting,8,ABCDDEFG,abegintt
abettor,7,ABCDDEF,abeortt
abeyance,8,ABCDAEFC,aabceeny
abeyant,7,ABCDAEF,aabenty
abhor,5,ABCDE,abhor
abhorred,8,ABCDEEFG,abdehorr
abhorrent,9,ABCDEEFGH,abehnorrt
abhorrer,8,ABCDEEFE,abehorrr
abhorring,9,ABCDEEFGH,abghinorr
abide,5,ABCDE,abdei
abiding,7,ABCDCEF,abdgiin
Abigail,7,ABCDACE,Aabgiil
Abilene,7,ABCDEFE,Abeeiln
ability,7,ABCDCEF,abiilty
abject,6,ABCDEF,abcejt
abjection,9,ABCDEFGHI,abceijnot
abjure,6,ABCDEF,abejru
ablate,6,ABCADE,aabelt
ablative,8,ABCADEFG,aabeiltv
ablaze,6,ABCADE,aabelz
able,4,ABCD,abel
ablution,8,ABCDEFGH,abilnotu
ably,4,ABCD,ably
Abner,5,ABCDE,Abenr
abnormal,8,ABCDEFAG,aablmnor
abnormality,11,ABCDEFAGHIJ,aabilmnorty
aboard,6,ABCADE,aabdor
abode,5,ABCDE,abdeo
abolish,7,ABCDEFG,abhilos
abolishment,11,ABCDEFGHIJK,abehilmnost
abolition,9,ABCDEFECG,abiilnoot
abolitionist,12,ABCDEFECGEHF,abiiilnoostt
abominable,10,ABCDEFABGH,aabbeilmno
abominate,9,ABCDEFAGH,aabeimnot
aboriginal,10,ABCDEFEGAH,aabgiilnor
aborigine,9,ABCDEFEGH,abegiinor
aborning,8,ABCDEFEG,abginnor
abort,5,ABCDE,abort
abortion,8,ABCDEFCG,abinoort
abortive,8,ABCDEFGH,abeiortv
abound,6,ABCDEF,abdnou
about,5,ABCDE,abotu
above,5,ABCDE,abeov
aboveboard,10,ABCDEBCAFG,aabbdeoorv
aboveground,11,ABCDEFGCHIJ,abdegnooruv
abrade,6,ABCADE,aabder
Abraham,7,ABCADAE,Aaabhmr
Abrams,6,ABCADE,Aabmrs
Abramson,8,ABCADEFG,Aabmnors
abrasion,8,ABCADEFG,aabinors
abrasive,8,ABCADEFG,aabeirsv
biofeedback,11,ABCDEEFAGHI,abbcdeefiko
biograph,8,ABCDEFGH,abghiopr
biographer,10,ABCDEFGHIE,abeghioprr
biographic,10,ABCDEFGHBI,abcghiiopr
biographical,12,ABCDEFGHBIFJ,aabcghiilopr
biography,9,ABCDEFGHI,abghiopry
biologic,8,ABCDCEBF,bcgiiloo
biological,10,ABCDCEBFGD,abcgiilloo
biologist,9,ABCDCEBFG,bgiiloost
biology,7,ABCDCEF,bgilooy
biomass,7,ABCDEFF,abimoss
biomedical,10,ABCDEFBGHI,abcdeiilmo
biomedicine,11,ABCDEFBGBHE,bcdeeiiimno
biometric,9,ABCDEFGBH,bceiimort
biometry,8,ABCDEFGH,beimorty
biomolecule,11,ABCDCEFGHEF,bceeillmoou
biophysic,9,ABCDEFGBH,bchiiopsy
biophysical,11,ABCDEFGBHIJ,abchiilopsy
biophysicist,12,ABCDEFGBHBGI,bchiiiopssty
biopsy,6,ABCDEF,biopsy
bioscience,10,ABCDEBFGEF,bcceeiinos
biosphere,9,ABCDEFGHG,beehioprs
biostatistic,12,ABCDEFEBDEBG,abciiiossttt
biosynthesized,14,ABCDEFGHIDBJIK,bdeehiinosstyz
biotic,6,ABCDBE,bciiot
bipartisan,10,ABCDEFBGDH,aabiinprst
bipartite,9,ABCDEFBFG,abeiiprtt
biped,5,ABCDE,bdeip
biplane,7,ABCDEFG,abeilnp
bipolar,7,ABCDEFG,abilopr
biracial,8,ABCDEBDF,aabciilr
birch,5,ABCDE,bchir
bird,4,ABCD,bdir
birdbath,8,ABCDAEFG,abbdhirt
birdbaths,9,ABCDAEFGH,abbdhirst
birdie,6,ABCDBE,bdeiir
birdlike,8,ABCDEBFG,bdeiiklr
birdseed,8,ABCDEFFD,bddeeirs
birdwatch,9,ABCDEFGHI,abcdhirtw
